,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1559845302,70,-33.93,18.42,52.0,3.36
1,Rikitea,75,PF,1559845303,74,-23.12,-134.97,73.13,16.46
2,Yulara,0,AU,1559845304,55,-25.24,130.99,37.4,6.93
3,Qaanaaq,99,GL,1559845306,86,77.48,-69.36,32.45,2.57
4,Namibe,75,AO,1559845307,83,-15.19,12.15,69.8,6.35
5,Bredasdorp,11,ZA,1559845308,81,-34.53,20.04,44.6,5.82
6,Sitka,100,US,1559845309,72,37.17,-99.65,75.0,4.0
7,Saint-Augustin,0,FR,1559845310,56,44.83,-0.61,70.0,12.75
8,Castro,40,CL,1559845312,87,-42.48,-73.76,48.2,5.82
9,Chuy,52,UY,1559845313,69,-33.69,-53.46,67.37,13.87
10,Thompson,75,CA,1559845314,39,55.74,-97.86,64.4,2.24
11,Punta Arenas,75,CL,1559845315,75,-53.16,-70.91,44.6,11.41
12,Ushuaia,40,AR,1559845317,83,-54.81,-68.31,44.6,7.43
13,Tiksi,11,RU,1559845269,81,71.64,128.87,30.11,3.49
14,Pilar,75,AR,1559845319,68,-34.46,-58.91,68.0,13.87
15,Pevek,94,RU,1559845320,94,69.7,170.27,34.25,7.38
16,Carnarvon,12,ZA,1559845321,38,-30.97,22.13,45.59,3.94
17,Atuona,59,PF,1559845323,77,-9.8,-139.03,81.59,19.62
18,Kaitangata,63,NZ,1559845324,80,-46.28,169.85,45.0,14.0
19,Arrifes,75,PT,1559845028,82,37.77,-25.7,62.6,10.29
20,Klaksvik,100,FO,1559845326,87,62.23,-6.59,46.4,9.17
21,Young,94,UY,1559845327,59,-32.7,-57.63,73.99,1.01
22,Bethel,90,US,1559845270,93,60.79,-161.76,44.6,11.41
23,Ilulissat,75,GL,1559845330,65,69.22,-51.1,46.4,5.82
24,New Norfolk,0,AU,1559845331,62,-42.78,147.06,52.0,17.22
25,Barrow,98,AR,1559845332,52,-38.31,-60.23,66.29,10.58
26,Zhangjiakou,100,CN,1559845334,87,40.77,114.88,56.03,6.08
27,Brae,100,GB,1559845335,93,60.4,-1.35,50.0,13.87
28,Bluff,90,AU,1559845336,72,-23.58,149.07,57.83,16.11
29,Matay,0,EG,1559845337,21,28.42,30.79,92.75,13.11
30,San Jose,93,PH,1559845067,74,15.79,120.99,79.79,3.8
31,Mar del Plata,67,AR,1559845340,46,-46.43,-67.52,49.19,25.23
32,Bambous Virieux,40,MU,1559845341,78,-20.34,57.76,75.2,17.22
33,Maceio,40,BR,1559845342,54,-9.67,-35.74,82.4,8.05
34,Arraial do Cabo,40,BR,1559845113,64,-22.97,-42.02,75.2,14.99
35,Zhigalovo,46,RU,1559845345,60,54.81,105.15,50.27,3.27
36,Sioux Lookout,40,CA,1559845346,56,50.1,-91.92,68.0,5.82
37,Upernavik,74,GL,1559845347,84,72.79,-56.15,33.89,5.93
38,Codrington,0,AU,1559845348,93,-28.95,153.24,54.0,3.85
39,Rawson,34,AR,1559845349,40,-43.3,-65.11,56.75,23.4
40,Sosua,75,DO,1559845351,74,19.77,-70.52,93.99,11.41
41,Dzierzoniow,20,PL,1559845352,50,50.73,16.65,77.0,6.93
42,East London,0,ZA,1559845353,66,-33.02,27.91,50.0,5.82
43,Hobart,0,AU,1559845219,62,-42.88,147.33,52.0,17.22
44,Yellowknife,75,CA,1559845355,86,62.45,-114.38,39.2,18.34
45,Yaan,90,NG,1559845357,75,7.38,8.57,81.05,8.39
46,Carolina,40,PR,1559845342,74,18.38,-65.96,91.0,9.17
47,Kavieng,68,PG,1559845359,74,-2.57,150.8,83.03,6.22
48,Okrika,90,NG,1559845360,97,5.52,7.78,74.03,2.82
49,Port Alfred,6,ZA,1559845361,65,-33.59,26.89,54.0,5.99
50,Mount Gambier,90,AU,1559845363,93,-37.83,140.78,51.8,8.37
51,Albany,90,US,1559845364,72,42.65,-73.75,75.99,3.36
52,Peniche,90,PT,1559845365,100,39.36,-9.38,59.0,5.82
53,Axim,40,GH,1559845366,83,4.87,-2.24,80.15,12.03
54,Kushiro,20,JP,1559845367,94,43.11,144.15,50.27,1.05
55,Maracacume,27,BR,1559845165,78,-2.04,-45.96,85.55,4.18
56,Coquimbo,0,CL,1559845370,59,-29.95,-71.34,72.0,11.41
57,Mahebourg,40,MU,1559845371,78,-20.41,57.7,75.2,17.22
58,Dunedin,17,NZ,1559845202,83,-45.87,170.5,45.0,21.99
59,Ponta Delgada,75,PT,1559845373,77,37.73,-25.67,64.4,10.29
60,General Pico,100,AR,1559845374,52,-35.66,-63.75,67.01,13.33
61,Burdur,20,TR,1559845376,26,37.72,30.29,73.4,8.05
62,Amapa,20,HN,1559845377,53,15.09,-87.97,95.0,2.24
63,Busselton,100,AU,1559845378,61,-33.64,115.35,54.0,16.46
64,Dikson,29,RU,1559845379,90,73.51,80.55,27.23,1.74
65,Vanimo,89,PG,1559845381,79,-2.67,141.3,81.05,5.35
66,Nikolskoye,0,RU,1559845382,47,59.7,30.79,80.6,8.95
67,Butaritari,70,KI,1559845383,81,3.07,172.79,84.11,15.52
68,Pindushi,39,RU,1559845384,64,62.92,34.58,68.45,7.78
69,Severobaykalsk,78,RU,1559845385,81,55.65,109.32,40.91,4.65
70,Ust-Nera,1,RU,1559845387,64,64.57,143.24,36.95,10.33
71,Torbay,90,CA,1559845388,93,47.66,-52.73,55.4,9.17
72,Saint Andrews,25,NZ,1559845389,59,-44.53,171.19,42.01,10.18
